EVALUATION RESULTS
==================================================
Average Reconstruction Loss: 750.3608
Average VAE Loss: 55.6031
Average Total Loss: 805.9639
Average RMSD: 21.91 Å
Total Proteins Evaluated: 4679
==================================================

DETAILED RESULTS BY BATCH:
Batch 0: Loss=558.7004, RMSD=19.76Å, Proteins=4
Batch 39: Loss=697.0015, RMSD=22.38Å, Proteins=4
Batch 40: Loss=955.0982, RMSD=21.57Å, Proteins=4
Batch 41: Loss=836.8508, RMSD=25.68Å, Proteins=4
Batch 42: Loss=944.7684, RMSD=27.31Å, Proteins=4
Batch 43: Loss=831.7367, RMSD=22.46Å, Proteins=4
Batch 44: Loss=952.8281, RMSD=21.77Å, Proteins=4
Batch 45: Loss=899.8146, RMSD=21.07Å, Proteins=4
Batch 46: Loss=499.4383, RMSD=19.84Å, Proteins=4
Batch 47: Loss=668.6937, RMSD=21.45Å, Proteins=4
Batch 48: Loss=351.5618, RMSD=14.63Å, Proteins=4
Batch 49: Loss=579.4897, RMSD=17.71Å, Proteins=4
Batch 50: Loss=716.7874, RMSD=22.41Å, Proteins=4
Batch 51: Loss=1091.3536, RMSD=26.43Å, Proteins=4
Batch 52: Loss=490.5865, RMSD=18.48Å, Proteins=4
Batch 53: Loss=1210.9182, RMSD=30.90Å, Proteins=4
Batch 54: Loss=568.3001, RMSD=20.16Å, Proteins=4
Batch 55: Loss=709.2489, RMSD=21.00Å, Proteins=4
Batch 56: Loss=659.2928, RMSD=17.54Å, Proteins=4
Batch 57: Loss=655.6143, RMSD=22.10Å, Proteins=4
Batch 58: Loss=826.5885, RMSD=20.57Å, Proteins=4
Batch 59: Loss=875.1282, RMSD=23.34Å, Proteins=4
Batch 60: Loss=703.1337, RMSD=18.96Å, Proteins=4
Batch 61: Loss=440.4320, RMSD=18.31Å, Proteins=4
Batch 62: Loss=660.5775, RMSD=20.01Å, Proteins=4
Batch 63: Loss=816.0004, RMSD=24.53Å, Proteins=4
Batch 64: Loss=1271.8662, RMSD=23.71Å, Proteins=4
Batch 65: Loss=602.2548, RMSD=17.31Å, Proteins=4
Batch 66: Loss=739.5109, RMSD=18.87Å, Proteins=4
Batch 67: Loss=980.0153, RMSD=25.62Å, Proteins=4
Batch 68: Loss=867.8914, RMSD=24.04Å, Proteins=4
Batch 69: Loss=944.1816, RMSD=25.86Å, Proteins=4
Batch 70: Loss=869.0610, RMSD=20.62Å, Proteins=4
Batch 71: Loss=608.7943, RMSD=21.40Å, Proteins=4
Batch 72: Loss=1053.7847, RMSD=29.23Å, Proteins=4
Batch 73: Loss=940.9394, RMSD=25.68Å, Proteins=4
Batch 74: Loss=822.1262, RMSD=23.70Å, Proteins=4
Batch 75: Loss=1784.6353, RMSD=22.84Å, Proteins=4
Batch 76: Loss=529.0510, RMSD=16.70Å, Proteins=4
Batch 77: Loss=563.7966, RMSD=20.29Å, Proteins=4
Batch 78: Loss=841.2396, RMSD=22.72Å, Proteins=4
Batch 79: Loss=811.1923, RMSD=19.41Å, Proteins=4
Batch 80: Loss=714.8439, RMSD=21.33Å, Proteins=4
Batch 81: Loss=562.7416, RMSD=17.99Å, Proteins=4
Batch 82: Loss=757.2999, RMSD=23.85Å, Proteins=4
Batch 83: Loss=420.7744, RMSD=16.24Å, Proteins=4
Batch 84: Loss=829.8421, RMSD=19.39Å, Proteins=4
Batch 85: Loss=461.2879, RMSD=16.91Å, Proteins=4
Batch 86: Loss=815.9204, RMSD=23.70Å, Proteins=4
Batch 87: Loss=730.8434, RMSD=21.99Å, Proteins=4
Batch 88: Loss=578.8481, RMSD=18.96Å, Proteins=4
Batch 89: Loss=809.0517, RMSD=25.00Å, Proteins=4
Batch 90: Loss=689.8621, RMSD=18.84Å, Proteins=4
Batch 91: Loss=322.7191, RMSD=15.61Å, Proteins=4
Batch 92: Loss=757.1151, RMSD=22.18Å, Proteins=4
Batch 93: Loss=620.4445, RMSD=20.59Å, Proteins=4
Batch 94: Loss=913.9505, RMSD=26.45Å, Proteins=4
Batch 95: Loss=817.6521, RMSD=21.60Å, Proteins=4
Batch 96: Loss=802.3694, RMSD=22.97Å, Proteins=4
Batch 97: Loss=624.8221, RMSD=20.21Å, Proteins=4
Batch 98: Loss=966.6765, RMSD=24.19Å, Proteins=4
Batch 99: Loss=611.9081, RMSD=18.35Å, Proteins=4
Batch 100: Loss=1433.1550, RMSD=31.42Å, Proteins=4
Batch 101: Loss=621.1770, RMSD=19.69Å, Proteins=4
Batch 102: Loss=1045.0260, RMSD=27.07Å, Proteins=4
Batch 103: Loss=620.4983, RMSD=20.38Å, Proteins=4
Batch 104: Loss=1712.9495, RMSD=32.62Å, Proteins=4
Batch 105: Loss=635.6310, RMSD=19.16Å, Proteins=4
Batch 106: Loss=822.7122, RMSD=22.55Å, Proteins=4
Batch 107: Loss=864.9186, RMSD=19.77Å, Proteins=4
Batch 108: Loss=1051.8865, RMSD=23.52Å, Proteins=4
Batch 109: Loss=1165.2598, RMSD=29.29Å, Proteins=4
Batch 110: Loss=1127.2126, RMSD=26.60Å, Proteins=4
Batch 111: Loss=706.9341, RMSD=20.24Å, Proteins=4
Batch 112: Loss=1061.3384, RMSD=26.66Å, Proteins=4
Batch 113: Loss=1182.5133, RMSD=25.60Å, Proteins=4
Batch 114: Loss=677.0048, RMSD=19.48Å, Proteins=4
Batch 115: Loss=585.5739, RMSD=19.18Å, Proteins=4
Batch 116: Loss=1008.1389, RMSD=28.22Å, Proteins=4
Batch 117: Loss=696.8353, RMSD=23.73Å, Proteins=4
Batch 118: Loss=891.9359, RMSD=25.00Å, Proteins=4
Batch 119: Loss=612.1650, RMSD=20.28Å, Proteins=4
Batch 120: Loss=773.8906, RMSD=24.02Å, Proteins=4
Batch 121: Loss=786.2865, RMSD=21.63Å, Proteins=4
Batch 122: Loss=636.5472, RMSD=20.42Å, Proteins=4
Batch 123: Loss=740.8880, RMSD=22.14Å, Proteins=4
Batch 124: Loss=411.8593, RMSD=16.03Å, Proteins=4
Batch 125: Loss=518.7968, RMSD=15.34Å, Proteins=4
Batch 126: Loss=1009.3434, RMSD=23.44Å, Proteins=4
Batch 127: Loss=983.4042, RMSD=23.50Å, Proteins=4
Batch 128: Loss=736.3582, RMSD=21.66Å, Proteins=4
Batch 129: Loss=1944.4951, RMSD=26.19Å, Proteins=4
Batch 130: Loss=663.4319, RMSD=23.62Å, Proteins=4
Batch 131: Loss=2334.2822, RMSD=28.20Å, Proteins=4
Batch 132: Loss=818.4299, RMSD=22.44Å, Proteins=4
Batch 133: Loss=1010.2807, RMSD=29.50Å, Proteins=4
Batch 134: Loss=628.9054, RMSD=23.18Å, Proteins=4
Batch 135: Loss=571.2745, RMSD=19.53Å, Proteins=4
Batch 136: Loss=1334.0520, RMSD=26.75Å, Proteins=4
Batch 137: Loss=609.2040, RMSD=18.89Å, Proteins=4
Batch 138: Loss=914.8619, RMSD=25.29Å, Proteins=4
Batch 139: Loss=541.7240, RMSD=17.70Å, Proteins=4
Batch 140: Loss=425.5669, RMSD=18.05Å, Proteins=4
Batch 141: Loss=722.8385, RMSD=21.82Å, Proteins=4
Batch 142: Loss=798.5593, RMSD=21.64Å, Proteins=4
Batch 143: Loss=628.8705, RMSD=22.21Å, Proteins=4
Batch 144: Loss=477.9547, RMSD=16.70Å, Proteins=4
Batch 145: Loss=1301.5338, RMSD=23.79Å, Proteins=4
Batch 146: Loss=785.8797, RMSD=23.07Å, Proteins=4
Batch 147: Loss=608.3251, RMSD=20.57Å, Proteins=4
Batch 148: Loss=626.9840, RMSD=19.90Å, Proteins=4
Batch 149: Loss=1071.1366, RMSD=24.82Å, Proteins=4
Batch 150: Loss=580.9153, RMSD=19.17Å, Proteins=4
Batch 151: Loss=1471.5315, RMSD=29.31Å, Proteins=4
Batch 152: Loss=2275.1514, RMSD=35.09Å, Proteins=4
Batch 153: Loss=407.4487, RMSD=17.21Å, Proteins=4
Batch 154: Loss=848.3401, RMSD=18.66Å, Proteins=4
Batch 155: Loss=574.2836, RMSD=19.76Å, Proteins=4
Batch 156: Loss=534.6468, RMSD=16.90Å, Proteins=4
Batch 157: Loss=693.0720, RMSD=20.86Å, Proteins=4
Batch 158: Loss=909.6577, RMSD=24.71Å, Proteins=4
Batch 159: Loss=499.3905, RMSD=18.78Å, Proteins=4
Batch 160: Loss=1146.4989, RMSD=27.40Å, Proteins=4
Batch 161: Loss=1199.0537, RMSD=23.01Å, Proteins=4
Batch 162: Loss=638.1644, RMSD=21.93Å, Proteins=4
Batch 163: Loss=753.7905, RMSD=22.86Å, Proteins=4
Batch 164: Loss=915.7308, RMSD=20.97Å, Proteins=4
Batch 165: Loss=770.6091, RMSD=20.89Å, Proteins=4
Batch 166: Loss=695.3064, RMSD=20.78Å, Proteins=4
Batch 167: Loss=722.0626, RMSD=20.03Å, Proteins=4
Batch 168: Loss=818.7500, RMSD=21.65Å, Proteins=4
Batch 169: Loss=478.9063, RMSD=18.52Å, Proteins=4
Batch 170: Loss=1218.4178, RMSD=24.66Å, Proteins=4
Batch 171: Loss=1063.5537, RMSD=28.11Å, Proteins=4
Batch 172: Loss=631.4275, RMSD=17.57Å, Proteins=4
Batch 173: Loss=1153.4779, RMSD=26.68Å, Proteins=4
Batch 174: Loss=679.9618, RMSD=18.39Å, Proteins=4
Batch 175: Loss=743.2664, RMSD=16.44Å, Proteins=4
Batch 176: Loss=695.0749, RMSD=21.43Å, Proteins=4
Batch 177: Loss=509.1241, RMSD=16.23Å, Proteins=4
Batch 178: Loss=451.6241, RMSD=18.83Å, Proteins=4
Batch 179: Loss=961.2736, RMSD=25.66Å, Proteins=4
Batch 180: Loss=1186.3204, RMSD=28.17Å, Proteins=4
Batch 181: Loss=715.6222, RMSD=21.42Å, Proteins=4
Batch 182: Loss=827.1064, RMSD=26.66Å, Proteins=4
Batch 183: Loss=865.2198, RMSD=21.86Å, Proteins=4
Batch 184: Loss=261.1355, RMSD=12.84Å, Proteins=4
Batch 185: Loss=1803.4928, RMSD=27.92Å, Proteins=4
Batch 186: Loss=1608.8068, RMSD=34.56Å, Proteins=4
Batch 187: Loss=426.1758, RMSD=16.22Å, Proteins=4
Batch 188: Loss=405.3292, RMSD=16.61Å, Proteins=4
Batch 189: Loss=1446.0566, RMSD=21.93Å, Proteins=4
Batch 190: Loss=531.9111, RMSD=20.03Å, Proteins=4
Batch 191: Loss=527.8695, RMSD=18.79Å, Proteins=4
Batch 192: Loss=1370.7688, RMSD=17.38Å, Proteins=4
Batch 193: Loss=701.2470, RMSD=20.71Å, Proteins=4
Batch 194: Loss=617.6772, RMSD=20.45Å, Proteins=4
Batch 195: Loss=732.1186, RMSD=24.50Å, Proteins=4
Batch 196: Loss=915.6275, RMSD=27.10Å, Proteins=4
Batch 197: Loss=985.1709, RMSD=26.43Å, Proteins=4
Batch 198: Loss=850.8954, RMSD=22.13Å, Proteins=4
Batch 199: Loss=468.1112, RMSD=16.68Å, Proteins=4
Batch 200: Loss=2662.0996, RMSD=31.56Å, Proteins=4
Batch 201: Loss=966.8962, RMSD=24.60Å, Proteins=4
Batch 202: Loss=802.9092, RMSD=21.67Å, Proteins=4
Batch 203: Loss=1440.6930, RMSD=29.85Å, Proteins=4
Batch 204: Loss=813.8950, RMSD=22.34Å, Proteins=4
Batch 205: Loss=974.7154, RMSD=29.76Å, Proteins=4
Batch 206: Loss=1023.6276, RMSD=26.70Å, Proteins=4
Batch 207: Loss=841.6589, RMSD=24.89Å, Proteins=4
Batch 208: Loss=465.4688, RMSD=18.46Å, Proteins=4
Batch 209: Loss=972.7646, RMSD=25.75Å, Proteins=4
Batch 210: Loss=454.2927, RMSD=16.65Å, Proteins=4
Batch 211: Loss=952.1595, RMSD=25.06Å, Proteins=4
Batch 212: Loss=769.7617, RMSD=22.63Å, Proteins=4
Batch 213: Loss=780.0442, RMSD=20.55Å, Proteins=4
Batch 214: Loss=939.0477, RMSD=26.04Å, Proteins=4
Batch 215: Loss=627.9430, RMSD=20.77Å, Proteins=4
Batch 216: Loss=434.4786, RMSD=15.69Å, Proteins=4
Batch 217: Loss=962.4102, RMSD=18.73Å, Proteins=4
Batch 218: Loss=776.3898, RMSD=24.79Å, Proteins=4
Batch 219: Loss=2073.4709, RMSD=27.07Å, Proteins=4
Batch 220: Loss=882.5878, RMSD=16.41Å, Proteins=4
Batch 221: Loss=754.7682, RMSD=22.03Å, Proteins=4
Batch 222: Loss=855.8967, RMSD=23.11Å, Proteins=4
Batch 223: Loss=981.0859, RMSD=22.30Å, Proteins=4
Batch 224: Loss=694.0317, RMSD=21.97Å, Proteins=4
Batch 225: Loss=712.6958, RMSD=18.22Å, Proteins=4
Batch 226: Loss=682.7172, RMSD=22.26Å, Proteins=4
Batch 227: Loss=656.0224, RMSD=21.18Å, Proteins=4
Batch 228: Loss=572.0910, RMSD=18.49Å, Proteins=4
Batch 229: Loss=841.1482, RMSD=23.05Å, Proteins=4
Batch 230: Loss=865.7775, RMSD=24.81Å, Proteins=4
Batch 231: Loss=824.9240, RMSD=22.93Å, Proteins=4
Batch 232: Loss=1681.5077, RMSD=29.74Å, Proteins=4
Batch 233: Loss=687.1532, RMSD=20.79Å, Proteins=4
Batch 234: Loss=559.0344, RMSD=17.43Å, Proteins=4
Batch 235: Loss=916.8166, RMSD=24.83Å, Proteins=4
Batch 236: Loss=583.5463, RMSD=19.61Å, Proteins=4
Batch 237: Loss=856.7886, RMSD=22.53Å, Proteins=4
Batch 238: Loss=902.6671, RMSD=25.57Å, Proteins=4
Batch 239: Loss=364.4266, RMSD=15.71Å, Proteins=4
Batch 240: Loss=896.3240, RMSD=21.58Å, Proteins=4
Batch 241: Loss=791.6554, RMSD=23.35Å, Proteins=4
Batch 242: Loss=1236.3793, RMSD=31.31Å, Proteins=4
Batch 243: Loss=962.7729, RMSD=22.97Å, Proteins=4
Batch 244: Loss=856.1426, RMSD=21.65Å, Proteins=4
Batch 245: Loss=443.0125, RMSD=16.09Å, Proteins=4
Batch 246: Loss=721.1248, RMSD=18.86Å, Proteins=4
Batch 247: Loss=882.2147, RMSD=22.50Å, Proteins=4
Batch 248: Loss=1033.0028, RMSD=21.33Å, Proteins=4
Batch 249: Loss=1096.1947, RMSD=28.54Å, Proteins=4
Batch 250: Loss=1142.9906, RMSD=25.51Å, Proteins=4
Batch 251: Loss=752.6960, RMSD=22.25Å, Proteins=4
Batch 252: Loss=496.3107, RMSD=19.00Å, Proteins=4
Batch 253: Loss=1460.7927, RMSD=23.18Å, Proteins=4
Batch 254: Loss=532.5754, RMSD=17.79Å, Proteins=4
Batch 255: Loss=551.7325, RMSD=19.60Å, Proteins=4
Batch 256: Loss=818.1045, RMSD=24.43Å, Proteins=4
Batch 257: Loss=804.7392, RMSD=24.44Å, Proteins=4
Batch 258: Loss=384.8858, RMSD=14.87Å, Proteins=4
Batch 259: Loss=529.3320, RMSD=16.13Å, Proteins=4
Batch 260: Loss=473.4977, RMSD=17.34Å, Proteins=4
Batch 261: Loss=364.1010, RMSD=16.74Å, Proteins=4
Batch 262: Loss=1366.8091, RMSD=26.86Å, Proteins=4
Batch 263: Loss=720.9608, RMSD=19.12Å, Proteins=4
Batch 264: Loss=864.6127, RMSD=17.84Å, Proteins=4
Batch 265: Loss=1294.5350, RMSD=23.72Å, Proteins=4
Batch 266: Loss=1021.6537, RMSD=26.31Å, Proteins=4
Batch 267: Loss=677.8992, RMSD=17.79Å, Proteins=4
Batch 268: Loss=851.0187, RMSD=25.35Å, Proteins=4
Batch 269: Loss=611.7639, RMSD=19.30Å, Proteins=4
Batch 270: Loss=716.7438, RMSD=19.49Å, Proteins=4
Batch 271: Loss=1095.9196, RMSD=24.28Å, Proteins=4
Batch 272: Loss=1429.5490, RMSD=28.07Å, Proteins=4
Batch 273: Loss=1115.2025, RMSD=22.27Å, Proteins=4
Batch 274: Loss=828.5195, RMSD=26.15Å, Proteins=4
Batch 275: Loss=1004.4836, RMSD=25.43Å, Proteins=4
Batch 276: Loss=1519.1371, RMSD=27.21Å, Proteins=4
Batch 277: Loss=749.4147, RMSD=20.82Å, Proteins=4
Batch 278: Loss=1091.5787, RMSD=29.32Å, Proteins=4
Batch 279: Loss=786.0383, RMSD=25.55Å, Proteins=4
Batch 280: Loss=1216.8252, RMSD=27.00Å, Proteins=4
Batch 281: Loss=963.2119, RMSD=19.21Å, Proteins=4
Batch 282: Loss=475.0389, RMSD=16.75Å, Proteins=4
Batch 283: Loss=693.5352, RMSD=21.88Å, Proteins=4
Batch 284: Loss=779.1578, RMSD=21.75Å, Proteins=4
Batch 285: Loss=1004.9803, RMSD=26.29Å, Proteins=4
Batch 286: Loss=945.9345, RMSD=23.34Å, Proteins=4
Batch 287: Loss=977.8804, RMSD=23.55Å, Proteins=4
Batch 288: Loss=1517.9080, RMSD=36.00Å, Proteins=4
Batch 289: Loss=502.5217, RMSD=19.80Å, Proteins=4
Batch 290: Loss=555.0154, RMSD=20.24Å, Proteins=4
Batch 291: Loss=1229.6488, RMSD=25.88Å, Proteins=4
Batch 292: Loss=387.9326, RMSD=15.64Å, Proteins=4
Batch 293: Loss=494.9893, RMSD=17.56Å, Proteins=4
Batch 294: Loss=778.3992, RMSD=23.23Å, Proteins=4
Batch 295: Loss=692.5315, RMSD=21.29Å, Proteins=4
Batch 296: Loss=564.0536, RMSD=20.95Å, Proteins=4
Batch 297: Loss=957.4948, RMSD=25.71Å, Proteins=4
Batch 298: Loss=1067.3663, RMSD=29.24Å, Proteins=4
Batch 299: Loss=467.7622, RMSD=18.38Å, Proteins=4
Batch 300: Loss=734.5075, RMSD=24.13Å, Proteins=4
Batch 301: Loss=787.6899, RMSD=24.34Å, Proteins=4
Batch 302: Loss=626.4052, RMSD=17.55Å, Proteins=4
Batch 303: Loss=922.4704, RMSD=24.32Å, Proteins=4
Batch 304: Loss=911.0173, RMSD=24.05Å, Proteins=4
Batch 305: Loss=438.1717, RMSD=17.48Å, Proteins=4
Batch 306: Loss=890.9239, RMSD=24.15Å, Proteins=4
Batch 307: Loss=599.5961, RMSD=21.11Å, Proteins=4
Batch 308: Loss=748.1593, RMSD=20.67Å, Proteins=4
Batch 309: Loss=552.7047, RMSD=19.60Å, Proteins=4
Batch 310: Loss=525.9899, RMSD=19.37Å, Proteins=4
Batch 311: Loss=1020.1447, RMSD=27.26Å, Proteins=4
Batch 312: Loss=557.8064, RMSD=20.18Å, Proteins=4
Batch 313: Loss=699.7527, RMSD=18.94Å, Proteins=4
Batch 314: Loss=756.8185, RMSD=19.70Å, Proteins=4
Batch 315: Loss=568.7253, RMSD=19.90Å, Proteins=4
Batch 316: Loss=603.4395, RMSD=18.17Å, Proteins=4
Batch 317: Loss=780.8336, RMSD=23.03Å, Proteins=4
Batch 318: Loss=720.9008, RMSD=22.96Å, Proteins=4
Batch 319: Loss=836.1323, RMSD=23.76Å, Proteins=4
Batch 320: Loss=959.0083, RMSD=25.58Å, Proteins=4
Batch 321: Loss=535.5569, RMSD=19.84Å, Proteins=4
Batch 322: Loss=742.3231, RMSD=23.86Å, Proteins=4
Batch 323: Loss=733.6212, RMSD=20.67Å, Proteins=4
Batch 324: Loss=530.0119, RMSD=17.59Å, Proteins=4
Batch 325: Loss=581.7364, RMSD=17.38Å, Proteins=4
Batch 326: Loss=1072.6244, RMSD=26.65Å, Proteins=4
Batch 327: Loss=906.0888, RMSD=26.75Å, Proteins=4
Batch 328: Loss=818.3696, RMSD=23.41Å, Proteins=4
Batch 329: Loss=939.3112, RMSD=24.48Å, Proteins=4
Batch 330: Loss=509.5502, RMSD=16.04Å, Proteins=4
Batch 331: Loss=573.3346, RMSD=19.47Å, Proteins=4
Batch 332: Loss=725.2452, RMSD=20.05Å, Proteins=4
Batch 333: Loss=732.6414, RMSD=20.58Å, Proteins=4
Batch 334: Loss=525.0001, RMSD=19.12Å, Proteins=4
Batch 335: Loss=396.9444, RMSD=17.51Å, Proteins=4
Batch 336: Loss=502.6378, RMSD=18.16Å, Proteins=4
Batch 337: Loss=570.2556, RMSD=20.67Å, Proteins=4
Batch 338: Loss=1018.4843, RMSD=23.12Å, Proteins=4
Batch 339: Loss=1037.5391, RMSD=23.86Å, Proteins=4
Batch 340: Loss=669.3557, RMSD=18.68Å, Proteins=4
Batch 341: Loss=1178.9529, RMSD=27.53Å, Proteins=4
Batch 342: Loss=1094.8754, RMSD=27.77Å, Proteins=4
Batch 343: Loss=988.7042, RMSD=24.69Å, Proteins=4
Batch 344: Loss=327.2555, RMSD=13.38Å, Proteins=4
Batch 345: Loss=782.8835, RMSD=24.43Å, Proteins=4
Batch 346: Loss=1097.2017, RMSD=25.64Å, Proteins=4
Batch 347: Loss=725.2282, RMSD=22.21Å, Proteins=4
Batch 348: Loss=825.5486, RMSD=25.99Å, Proteins=4
Batch 349: Loss=992.2020, RMSD=25.91Å, Proteins=4
Batch 350: Loss=755.3681, RMSD=23.28Å, Proteins=4
Batch 351: Loss=1207.9908, RMSD=25.91Å, Proteins=4
Batch 352: Loss=753.0043, RMSD=23.14Å, Proteins=4
Batch 353: Loss=629.8009, RMSD=20.69Å, Proteins=4
Batch 354: Loss=549.8502, RMSD=21.03Å, Proteins=4
Batch 355: Loss=1222.7416, RMSD=24.85Å, Proteins=4
Batch 356: Loss=480.3890, RMSD=15.94Å, Proteins=4
Batch 357: Loss=516.0714, RMSD=18.55Å, Proteins=4
Batch 358: Loss=845.0034, RMSD=23.85Å, Proteins=4
Batch 359: Loss=712.1015, RMSD=22.75Å, Proteins=4
Batch 360: Loss=446.2173, RMSD=18.61Å, Proteins=4
Batch 361: Loss=658.6494, RMSD=21.42Å, Proteins=4
Batch 362: Loss=876.1365, RMSD=23.25Å, Proteins=4
Batch 363: Loss=1595.0446, RMSD=36.16Å, Proteins=4
Batch 364: Loss=523.8689, RMSD=15.72Å, Proteins=4
Batch 365: Loss=680.3752, RMSD=18.95Å, Proteins=4
Batch 366: Loss=701.2429, RMSD=19.37Å, Proteins=4
Batch 367: Loss=1058.8547, RMSD=28.23Å, Proteins=4
Batch 368: Loss=563.1510, RMSD=19.21Å, Proteins=4
Batch 369: Loss=589.4681, RMSD=18.31Å, Proteins=4
Batch 370: Loss=525.8657, RMSD=15.09Å, Proteins=4
Batch 371: Loss=425.4461, RMSD=17.32Å, Proteins=4
Batch 372: Loss=1089.3862, RMSD=26.02Å, Proteins=4
Batch 373: Loss=832.9036, RMSD=20.14Å, Proteins=4
Batch 374: Loss=798.1104, RMSD=20.71Å, Proteins=4
Batch 375: Loss=951.4969, RMSD=22.60Å, Proteins=4
Batch 376: Loss=729.5292, RMSD=22.15Å, Proteins=4
Batch 377: Loss=627.3030, RMSD=20.92Å, Proteins=4
Batch 378: Loss=737.2098, RMSD=24.42Å, Proteins=4
Batch 379: Loss=999.5830, RMSD=23.32Å, Proteins=4
Batch 380: Loss=923.8005, RMSD=22.19Å, Proteins=4
Batch 381: Loss=1156.3907, RMSD=25.53Å, Proteins=4
Batch 382: Loss=432.1253, RMSD=15.49Å, Proteins=4
Batch 383: Loss=805.5391, RMSD=16.78Å, Proteins=4
Batch 384: Loss=1001.9352, RMSD=28.46Å, Proteins=4
Batch 385: Loss=542.3998, RMSD=16.96Å, Proteins=4
Batch 386: Loss=933.2535, RMSD=26.15Å, Proteins=4
Batch 387: Loss=900.8243, RMSD=24.81Å, Proteins=4
Batch 388: Loss=487.5945, RMSD=19.40Å, Proteins=4
Batch 389: Loss=697.1461, RMSD=20.44Å, Proteins=4
Batch 390: Loss=836.8769, RMSD=23.24Å, Proteins=4
Batch 391: Loss=614.8037, RMSD=22.16Å, Proteins=4
Batch 392: Loss=639.4170, RMSD=21.58Å, Proteins=4
Batch 393: Loss=2063.8108, RMSD=34.26Å, Proteins=4
Batch 394: Loss=792.5879, RMSD=21.30Å, Proteins=4
Batch 395: Loss=792.3058, RMSD=21.35Å, Proteins=4
Batch 396: Loss=420.6897, RMSD=16.42Å, Proteins=4
Batch 397: Loss=1280.4750, RMSD=21.31Å, Proteins=4
Batch 398: Loss=791.0134, RMSD=19.94Å, Proteins=4
Batch 399: Loss=1117.0209, RMSD=25.66Å, Proteins=4
Batch 400: Loss=972.6174, RMSD=24.58Å, Proteins=4
Batch 401: Loss=573.8162, RMSD=17.63Å, Proteins=4
Batch 402: Loss=571.1136, RMSD=16.93Å, Proteins=4
Batch 403: Loss=615.6550, RMSD=18.09Å, Proteins=4
Batch 404: Loss=829.6864, RMSD=23.37Å, Proteins=4
Batch 405: Loss=971.1528, RMSD=21.95Å, Proteins=4
Batch 406: Loss=355.5575, RMSD=14.78Å, Proteins=4
Batch 407: Loss=968.4874, RMSD=24.85Å, Proteins=4
Batch 408: Loss=1236.6085, RMSD=24.72Å, Proteins=4
Batch 409: Loss=1183.8331, RMSD=26.15Å, Proteins=4
Batch 410: Loss=659.4964, RMSD=22.99Å, Proteins=4
Batch 411: Loss=547.3396, RMSD=17.28Å, Proteins=4
Batch 412: Loss=596.1847, RMSD=20.32Å, Proteins=4
