EVALUATION RESULTS
==================================================
Average Representation Loss: 56.1710
Average VAE Loss: 40.9906
Average Total Loss: 97.1616
Average Perplexity: 1.88
Average Codebook Usage: 0.00%
Total Proteins Evaluated: 4679
==================================================

DETAILED RESULTS BY BATCH:
Batch 0: Loss=84.5672, Perplexity=1.68, Codebook Usage=0.00%
Batch 142: Loss=92.8676, Perplexity=1.79, Codebook Usage=0.00%
Batch 143: Loss=82.9628, Perplexity=1.78, Codebook Usage=0.00%
Batch 144: Loss=76.4634, Perplexity=1.81, Codebook Usage=0.00%
Batch 145: Loss=106.1509, Perplexity=2.05, Codebook Usage=0.00%
Batch 146: Loss=101.1904, Perplexity=1.85, Codebook Usage=0.00%
Batch 147: Loss=94.2981, Perplexity=1.80, Codebook Usage=0.00%
Batch 148: Loss=89.0594, Perplexity=1.69, Codebook Usage=0.00%
Batch 149: Loss=125.7260, Perplexity=2.03, Codebook Usage=0.00%
Batch 150: Loss=94.1827, Perplexity=1.73, Codebook Usage=0.00%
Batch 151: Loss=116.6229, Perplexity=2.21, Codebook Usage=0.00%
Batch 152: Loss=132.2609, Perplexity=2.65, Codebook Usage=0.00%
Batch 153: Loss=79.3583, Perplexity=1.52, Codebook Usage=0.00%
Batch 154: Loss=91.4208, Perplexity=1.58, Codebook Usage=0.00%
Batch 155: Loss=86.4173, Perplexity=1.75, Codebook Usage=0.00%
Batch 156: Loss=69.0279, Perplexity=1.81, Codebook Usage=0.00%
Batch 157: Loss=98.7634, Perplexity=1.89, Codebook Usage=0.00%
Batch 158: Loss=105.4041, Perplexity=2.10, Codebook Usage=0.00%
Batch 159: Loss=90.4711, Perplexity=1.71, Codebook Usage=0.00%
Batch 160: Loss=124.7200, Perplexity=2.33, Codebook Usage=0.00%
Batch 161: Loss=95.2077, Perplexity=1.80, Codebook Usage=0.00%
Batch 162: Loss=95.1302, Perplexity=2.05, Codebook Usage=0.00%
Batch 163: Loss=101.9919, Perplexity=1.93, Codebook Usage=0.00%
Batch 164: Loss=97.3015, Perplexity=1.81, Codebook Usage=0.00%
Batch 165: Loss=87.6828, Perplexity=1.43, Codebook Usage=0.00%
Batch 166: Loss=97.8104, Perplexity=2.09, Codebook Usage=0.00%
Batch 167: Loss=78.7337, Perplexity=1.72, Codebook Usage=0.00%
Batch 168: Loss=90.7135, Perplexity=1.45, Codebook Usage=0.00%
Batch 169: Loss=80.3721, Perplexity=1.63, Codebook Usage=0.00%
Batch 170: Loss=112.1400, Perplexity=2.17, Codebook Usage=0.00%
Batch 171: Loss=121.4326, Perplexity=2.42, Codebook Usage=0.00%
Batch 172: Loss=111.3394, Perplexity=1.90, Codebook Usage=0.00%
Batch 173: Loss=117.7131, Perplexity=2.18, Codebook Usage=0.00%
Batch 174: Loss=79.9639, Perplexity=1.59, Codebook Usage=0.00%
Batch 175: Loss=83.9909, Perplexity=1.45, Codebook Usage=0.00%
Batch 176: Loss=83.3518, Perplexity=1.82, Codebook Usage=0.00%
Batch 177: Loss=89.0747, Perplexity=1.39, Codebook Usage=0.00%
Batch 178: Loss=80.7724, Perplexity=1.49, Codebook Usage=0.00%
Batch 179: Loss=119.9643, Perplexity=2.47, Codebook Usage=0.00%
Batch 180: Loss=111.9927, Perplexity=2.14, Codebook Usage=0.00%
Batch 181: Loss=89.7736, Perplexity=1.84, Codebook Usage=0.00%
Batch 182: Loss=101.7739, Perplexity=1.77, Codebook Usage=0.00%
Batch 183: Loss=99.9343, Perplexity=2.10, Codebook Usage=0.00%
Batch 184: Loss=51.0131, Perplexity=1.29, Codebook Usage=0.00%
Batch 185: Loss=118.3535, Perplexity=2.39, Codebook Usage=0.00%
Batch 186: Loss=137.2703, Perplexity=2.53, Codebook Usage=0.00%
Batch 187: Loss=77.1526, Perplexity=1.44, Codebook Usage=0.00%
Batch 188: Loss=68.7743, Perplexity=1.66, Codebook Usage=0.00%
Batch 189: Loss=101.6844, Perplexity=1.85, Codebook Usage=0.00%
Batch 190: Loss=74.2609, Perplexity=1.50, Codebook Usage=0.00%
Batch 191: Loss=76.2808, Perplexity=2.12, Codebook Usage=0.00%
Batch 192: Loss=103.1652, Perplexity=1.94, Codebook Usage=0.00%
Batch 193: Loss=102.8467, Perplexity=1.95, Codebook Usage=0.00%
Batch 194: Loss=79.6118, Perplexity=1.77, Codebook Usage=0.00%
Batch 195: Loss=88.4651, Perplexity=2.01, Codebook Usage=0.00%
Batch 196: Loss=117.3247, Perplexity=2.07, Codebook Usage=0.00%
Batch 197: Loss=110.4326, Perplexity=1.92, Codebook Usage=0.00%
Batch 198: Loss=98.2850, Perplexity=1.60, Codebook Usage=0.00%
Batch 199: Loss=72.7198, Perplexity=1.59, Codebook Usage=0.00%
Batch 200: Loss=118.0035, Perplexity=2.20, Codebook Usage=0.00%
Batch 201: Loss=112.5829, Perplexity=2.20, Codebook Usage=0.00%
Batch 202: Loss=93.8001, Perplexity=1.72, Codebook Usage=0.00%
Batch 203: Loss=133.7213, Perplexity=2.68, Codebook Usage=0.00%
Batch 204: Loss=95.2784, Perplexity=2.02, Codebook Usage=0.00%
Batch 205: Loss=134.4639, Perplexity=2.50, Codebook Usage=0.00%
Batch 206: Loss=131.1852, Perplexity=2.59, Codebook Usage=0.00%
Batch 207: Loss=90.1670, Perplexity=1.75, Codebook Usage=0.00%
Batch 208: Loss=69.1876, Perplexity=1.45, Codebook Usage=0.00%
Batch 209: Loss=101.2701, Perplexity=2.21, Codebook Usage=0.00%
Batch 210: Loss=70.1656, Perplexity=1.62, Codebook Usage=0.00%
Batch 211: Loss=115.6246, Perplexity=2.35, Codebook Usage=0.00%
Batch 212: Loss=117.4657, Perplexity=1.88, Codebook Usage=0.00%
Batch 213: Loss=90.6919, Perplexity=1.93, Codebook Usage=0.00%
Batch 214: Loss=112.2785, Perplexity=2.20, Codebook Usage=0.00%
Batch 215: Loss=80.8333, Perplexity=1.69, Codebook Usage=0.00%
Batch 216: Loss=59.3892, Perplexity=1.59, Codebook Usage=0.00%
Batch 217: Loss=90.7769, Perplexity=1.56, Codebook Usage=0.00%
Batch 218: Loss=98.0424, Perplexity=1.78, Codebook Usage=0.00%
Batch 219: Loss=108.9650, Perplexity=1.92, Codebook Usage=0.00%
Batch 220: Loss=98.1531, Perplexity=1.71, Codebook Usage=0.00%
Batch 221: Loss=107.2825, Perplexity=1.80, Codebook Usage=0.00%
Batch 222: Loss=101.8571, Perplexity=2.01, Codebook Usage=0.00%
Batch 223: Loss=102.2758, Perplexity=1.77, Codebook Usage=0.00%
Batch 224: Loss=82.3680, Perplexity=2.13, Codebook Usage=0.00%
Batch 225: Loss=86.4157, Perplexity=1.56, Codebook Usage=0.00%
Batch 226: Loss=104.2019, Perplexity=2.12, Codebook Usage=0.00%
Batch 227: Loss=87.3578, Perplexity=1.59, Codebook Usage=0.00%
Batch 228: Loss=82.4193, Perplexity=1.78, Codebook Usage=0.00%
Batch 229: Loss=89.7529, Perplexity=1.94, Codebook Usage=0.00%
Batch 230: Loss=105.8228, Perplexity=1.97, Codebook Usage=0.00%
Batch 231: Loss=105.8349, Perplexity=1.89, Codebook Usage=0.00%
Batch 232: Loss=133.7873, Perplexity=2.49, Codebook Usage=0.00%
Batch 233: Loss=80.9425, Perplexity=1.90, Codebook Usage=0.00%
Batch 234: Loss=92.4676, Perplexity=1.89, Codebook Usage=0.00%
Batch 235: Loss=103.5957, Perplexity=1.99, Codebook Usage=0.00%
Batch 236: Loss=80.3158, Perplexity=1.91, Codebook Usage=0.00%
Batch 237: Loss=99.9820, Perplexity=1.69, Codebook Usage=0.00%
Batch 238: Loss=114.1109, Perplexity=1.81, Codebook Usage=0.00%
Batch 239: Loss=77.8877, Perplexity=1.49, Codebook Usage=0.00%
Batch 240: Loss=104.3013, Perplexity=1.95, Codebook Usage=0.00%
Batch 241: Loss=101.9184, Perplexity=1.99, Codebook Usage=0.00%
Batch 242: Loss=144.4958, Perplexity=2.60, Codebook Usage=0.00%
Batch 243: Loss=119.2901, Perplexity=2.27, Codebook Usage=0.00%
Batch 244: Loss=103.1290, Perplexity=1.99, Codebook Usage=0.00%
Batch 245: Loss=72.1328, Perplexity=1.38, Codebook Usage=0.00%
Batch 246: Loss=91.3555, Perplexity=1.74, Codebook Usage=0.00%
Batch 247: Loss=105.9359, Perplexity=2.17, Codebook Usage=0.00%
Batch 248: Loss=89.6306, Perplexity=1.79, Codebook Usage=0.00%
Batch 249: Loss=119.5808, Perplexity=2.49, Codebook Usage=0.00%
Batch 250: Loss=121.5417, Perplexity=2.18, Codebook Usage=0.00%
Batch 251: Loss=108.7604, Perplexity=2.19, Codebook Usage=0.00%
Batch 252: Loss=83.6063, Perplexity=1.91, Codebook Usage=0.00%
Batch 253: Loss=109.4638, Perplexity=1.74, Codebook Usage=0.00%
Batch 254: Loss=79.5452, Perplexity=1.72, Codebook Usage=0.00%
Batch 255: Loss=87.7803, Perplexity=1.65, Codebook Usage=0.00%
Batch 256: Loss=103.4939, Perplexity=1.94, Codebook Usage=0.00%
Batch 257: Loss=119.9674, Perplexity=2.32, Codebook Usage=0.00%
Batch 258: Loss=69.7432, Perplexity=1.22, Codebook Usage=0.00%
Batch 259: Loss=71.2078, Perplexity=1.70, Codebook Usage=0.00%
Batch 260: Loss=85.4711, Perplexity=1.39, Codebook Usage=0.00%
Batch 261: Loss=73.6662, Perplexity=1.51, Codebook Usage=0.00%
Batch 262: Loss=118.3794, Perplexity=2.02, Codebook Usage=0.00%
Batch 263: Loss=87.2516, Perplexity=1.45, Codebook Usage=0.00%
Batch 264: Loss=90.9531, Perplexity=1.70, Codebook Usage=0.00%
Batch 265: Loss=107.6147, Perplexity=1.77, Codebook Usage=0.00%
Batch 266: Loss=115.3483, Perplexity=2.27, Codebook Usage=0.00%
Batch 267: Loss=96.6605, Perplexity=2.04, Codebook Usage=0.00%
Batch 268: Loss=92.5028, Perplexity=1.82, Codebook Usage=0.00%
Batch 269: Loss=96.2417, Perplexity=2.00, Codebook Usage=0.00%
Batch 270: Loss=93.3053, Perplexity=2.27, Codebook Usage=0.00%
Batch 271: Loss=119.6458, Perplexity=2.12, Codebook Usage=0.00%
Batch 272: Loss=121.4963, Perplexity=2.01, Codebook Usage=0.00%
Batch 273: Loss=106.4543, Perplexity=1.94, Codebook Usage=0.00%
Batch 274: Loss=94.8654, Perplexity=2.01, Codebook Usage=0.00%
Batch 275: Loss=118.3255, Perplexity=2.34, Codebook Usage=0.00%
Batch 276: Loss=134.4653, Perplexity=2.42, Codebook Usage=0.00%
Batch 277: Loss=92.7390, Perplexity=1.92, Codebook Usage=0.00%
Batch 278: Loss=135.4592, Perplexity=2.65, Codebook Usage=0.00%
Batch 279: Loss=104.4338, Perplexity=2.01, Codebook Usage=0.00%
Batch 280: Loss=112.9348, Perplexity=1.89, Codebook Usage=0.00%
Batch 281: Loss=91.3728, Perplexity=1.88, Codebook Usage=0.00%
Batch 282: Loss=75.3174, Perplexity=1.40, Codebook Usage=0.00%
Batch 283: Loss=103.5577, Perplexity=1.66, Codebook Usage=0.00%
Batch 284: Loss=105.3378, Perplexity=2.02, Codebook Usage=0.00%
Batch 285: Loss=136.9840, Perplexity=2.67, Codebook Usage=0.00%
Batch 286: Loss=122.5169, Perplexity=2.19, Codebook Usage=0.00%
Batch 287: Loss=116.9002, Perplexity=2.38, Codebook Usage=0.00%
Batch 288: Loss=129.8073, Perplexity=2.70, Codebook Usage=0.00%
Batch 289: Loss=75.8305, Perplexity=1.61, Codebook Usage=0.00%
Batch 290: Loss=95.4211, Perplexity=1.80, Codebook Usage=0.00%
Batch 291: Loss=126.9394, Perplexity=2.47, Codebook Usage=0.00%
Batch 292: Loss=58.5186, Perplexity=1.58, Codebook Usage=0.00%
Batch 293: Loss=77.7553, Perplexity=1.55, Codebook Usage=0.00%
Batch 294: Loss=93.9366, Perplexity=1.88, Codebook Usage=0.00%
Batch 295: Loss=95.5420, Perplexity=2.21, Codebook Usage=0.00%
Batch 296: Loss=88.4305, Perplexity=1.54, Codebook Usage=0.00%
Batch 297: Loss=106.1687, Perplexity=1.95, Codebook Usage=0.00%
Batch 298: Loss=124.5413, Perplexity=2.68, Codebook Usage=0.00%
Batch 299: Loss=83.0851, Perplexity=1.68, Codebook Usage=0.00%
Batch 300: Loss=97.5282, Perplexity=2.09, Codebook Usage=0.00%
Batch 301: Loss=88.8709, Perplexity=1.75, Codebook Usage=0.00%
Batch 302: Loss=85.6208, Perplexity=1.62, Codebook Usage=0.00%
Batch 303: Loss=97.3151, Perplexity=1.94, Codebook Usage=0.00%
Batch 304: Loss=118.7158, Perplexity=2.25, Codebook Usage=0.00%
Batch 305: Loss=73.2836, Perplexity=1.53, Codebook Usage=0.00%
Batch 306: Loss=123.2425, Perplexity=2.38, Codebook Usage=0.00%
Batch 307: Loss=105.5233, Perplexity=1.62, Codebook Usage=0.00%
Batch 308: Loss=89.9230, Perplexity=1.93, Codebook Usage=0.00%
Batch 309: Loss=82.1828, Perplexity=1.95, Codebook Usage=0.00%
Batch 310: Loss=101.2466, Perplexity=1.87, Codebook Usage=0.00%
Batch 311: Loss=121.2640, Perplexity=2.19, Codebook Usage=0.00%
Batch 312: Loss=82.7779, Perplexity=1.70, Codebook Usage=0.00%
Batch 313: Loss=77.1305, Perplexity=1.55, Codebook Usage=0.00%
Batch 314: Loss=88.5854, Perplexity=1.71, Codebook Usage=0.00%
Batch 315: Loss=92.6892, Perplexity=1.77, Codebook Usage=0.00%
Batch 316: Loss=94.7319, Perplexity=1.78, Codebook Usage=0.00%
Batch 317: Loss=97.3305, Perplexity=2.03, Codebook Usage=0.00%
Batch 318: Loss=85.6877, Perplexity=1.65, Codebook Usage=0.00%
Batch 319: Loss=109.5271, Perplexity=2.01, Codebook Usage=0.00%
Batch 320: Loss=106.5091, Perplexity=1.84, Codebook Usage=0.00%
Batch 321: Loss=63.5744, Perplexity=1.60, Codebook Usage=0.00%
Batch 322: Loss=106.3958, Perplexity=2.06, Codebook Usage=0.00%
Batch 323: Loss=91.4783, Perplexity=1.78, Codebook Usage=0.00%
Batch 324: Loss=86.8592, Perplexity=1.85, Codebook Usage=0.00%
Batch 325: Loss=81.6300, Perplexity=1.41, Codebook Usage=0.00%
Batch 326: Loss=121.6408, Perplexity=2.18, Codebook Usage=0.00%
Batch 327: Loss=101.9749, Perplexity=2.16, Codebook Usage=0.00%
Batch 328: Loss=106.8879, Perplexity=1.77, Codebook Usage=0.00%
Batch 329: Loss=105.5645, Perplexity=1.84, Codebook Usage=0.00%
Batch 330: Loss=82.6284, Perplexity=1.55, Codebook Usage=0.00%
Batch 331: Loss=92.8616, Perplexity=1.84, Codebook Usage=0.00%
Batch 332: Loss=104.2270, Perplexity=1.93, Codebook Usage=0.00%
Batch 333: Loss=99.5210, Perplexity=2.24, Codebook Usage=0.00%
Batch 334: Loss=84.3249, Perplexity=1.49, Codebook Usage=0.00%
Batch 335: Loss=73.0617, Perplexity=1.40, Codebook Usage=0.00%
Batch 336: Loss=83.8338, Perplexity=1.98, Codebook Usage=0.00%
Batch 337: Loss=81.5804, Perplexity=2.09, Codebook Usage=0.00%
Batch 338: Loss=123.4321, Perplexity=2.48, Codebook Usage=0.00%
Batch 339: Loss=105.7413, Perplexity=1.77, Codebook Usage=0.00%
Batch 340: Loss=88.4444, Perplexity=1.70, Codebook Usage=0.00%
Batch 341: Loss=120.6518, Perplexity=2.11, Codebook Usage=0.00%
Batch 342: Loss=116.6399, Perplexity=2.32, Codebook Usage=0.00%
Batch 343: Loss=112.0218, Perplexity=2.06, Codebook Usage=0.00%
Batch 344: Loss=53.9527, Perplexity=1.54, Codebook Usage=0.00%
Batch 345: Loss=93.9826, Perplexity=2.06, Codebook Usage=0.00%
Batch 346: Loss=110.9505, Perplexity=2.18, Codebook Usage=0.00%
Batch 347: Loss=102.0041, Perplexity=2.42, Codebook Usage=0.00%
Batch 348: Loss=105.6223, Perplexity=2.20, Codebook Usage=0.00%
Batch 349: Loss=112.6683, Perplexity=2.03, Codebook Usage=0.00%
Batch 350: Loss=102.7792, Perplexity=2.32, Codebook Usage=0.00%
Batch 351: Loss=124.7921, Perplexity=2.29, Codebook Usage=0.00%
Batch 352: Loss=115.5080, Perplexity=1.87, Codebook Usage=0.00%
Batch 353: Loss=84.1932, Perplexity=1.83, Codebook Usage=0.00%
Batch 354: Loss=78.3722, Perplexity=1.60, Codebook Usage=0.00%
Batch 355: Loss=110.4451, Perplexity=1.95, Codebook Usage=0.00%
Batch 356: Loss=91.1786, Perplexity=1.43, Codebook Usage=0.00%
Batch 357: Loss=92.4550, Perplexity=1.76, Codebook Usage=0.00%
Batch 358: Loss=84.0832, Perplexity=1.60, Codebook Usage=0.00%
Batch 359: Loss=111.0600, Perplexity=2.12, Codebook Usage=0.00%
